depository_accession,depository_source,species
E-MEXP-2435,AE,Arabidopsis thaliana
E-MEXP-1154,AE,Arabidopsis thaliana
E-MEXP-3362,AE,Arabidopsis thaliana
GSE74864,GEO,Arabidopsis thaliana
E-MEXP-3713,AE,Arabidopsis thaliana
GSE9646,GEO,Arabidopsis thaliana
GSE34188,GEO,Arabidopsis thaliana
GSE5628,GEO,Arabidopsis thaliana
E-MTAB-3331,AE,Arabidopsis thaliana
E-MEXP-2294,AE,Arabidopsis thaliana
E-MEXP-2116,AE,Arabidopsis thaliana
E-MEXP-2355,AE,Arabidopsis thaliana
E-MTAB-2115,AE,Arabidopsis thaliana
GSE57035,GEO,Arabidopsis thaliana
GSE145742,GEO,Arabidopsis thaliana
GSE185225,GEO,Arabidopsis thaliana
GSE155710,GEO,Arabidopsis thaliana
GSE153159,GEO,Arabidopsis thaliana
GSE162434,GEO,Arabidopsis thaliana
GSE158444,GEO,Arabidopsis thaliana
GSE137713,GEO,Arabidopsis thaliana
GSE152402,GEO,Arabidopsis thaliana
GSE143635,GEO,Arabidopsis thaliana
GSE149122,GEO,Arabidopsis thaliana
GSE140506,GEO,Arabidopsis thaliana
GSE128698,GEO,Arabidopsis thaliana
GSE132415,GEO,Arabidopsis thaliana
GSE118338,GEO,Arabidopsis thaliana
GSE134391,GEO,Arabidopsis thaliana
GSE116592,GEO,Arabidopsis thaliana
GSE112161,GEO,Arabidopsis thaliana
GSE121619,GEO,Arabidopsis thaliana
GSE116004,GEO,Arabidopsis thaliana
GSE103398,GEO,Arabidopsis thaliana
GSE107820,GEO,Arabidopsis thaliana
GSE103041,GEO,Arabidopsis thaliana
GSE83136,GEO,Arabidopsis thaliana
GSE69802,GEO,Arabidopsis thaliana
GSE69077,GEO,Arabidopsis thaliana
GSE66369,GEO,Arabidopsis thaliana
GSE63128,GEO,Arabidopsis thaliana
GSE63522,GEO,Arabidopsis thaliana
GSE58616,GEO,Arabidopsis thaliana
GSE51879,GEO,Arabidopsis thaliana
GSE44053,GEO,Arabidopsis thaliana
GSE44655,GEO,Arabidopsis thaliana
GSE26266,GEO,Arabidopsis thaliana
GSE4062,GEO,Arabidopsis thaliana
GSE152072,GEO,Arabidopsis thaliana
E-MEXP-603,AE,Arabidopsis thaliana
E-MEXP-2760,AE,Arabidopsis thaliana
E-MEXP-1725,AE,Arabidopsis thaliana
E-MEXP-3322,AE,Arabidopsis thaliana
E-MEXP-602,AE,Arabidopsis thaliana
GSE63372,GEO,Arabidopsis thaliana
E-MTAB-4867,AE,Arabidopsis thaliana
GSE41935,GEO,Arabidopsis thaliana
GSE147962,GEO,Arabidopsis thaliana
GSE114379,GEO,Arabidopsis thaliana
GSE203333,GEO,Arabidopsis thaliana
GSE94900,GEO,
GSE79353,GEO,
GSE52326,GEO,
GSE66946,GEO,Arabidopsis thaliana
E-MEXP-2293,AE,Arabidopsis thaliana
E-MTAB-8723,AE,
E-GEOD-44307,AE,
GSE173340,GEO,
GSE113138,GEO,
GSE156093,GEO,
GSE124866,GEO,
GSE99664,GEO,
GSE86481,GEO,
GSE84221,GEO,
GSE44307,GEO,
GSE53783,GEO,
GSE18217,GEO,
GSE7642,GEO,
GSE7641,GEO,
GSE7639,GEO,
GSE7636,GEO,
E-GEOD-71855,AE,
E-MTAB-4249,AE,
E-MTAB-4250,AE,
E-GEOD-32087,AE,
E-MEXP-2858,AE,
E-GEOD-18217,AE,
E-GEOD-53783,AE,
E-GEOD-7636,AE,
E-GEOD-7642,AE,
E-GEOD-8787,AE,
E-GEOD-7641,AE,
E-GEOD-26983,AE,
E-GEOD-46208,AE,
E-GEOD-46205,AE,
GSE208786,GEO,
GSE208755,GEO,Arabidopsis thaliana
GSE199116,GEO,Arabidopsis thaliana
GSE136269,GEO,
GSE136268,GEO,
GSE114682,GEO,
GSE169230,GEO,
GSE151210,GEO,
GSE147812,GEO,
GSE116334,GEO,
GSE116333,GEO,
GSE116332,GEO,
GSE108070,GEO,Arabidopsis thaliana
GSE80114,GEO,
GSE71271,GEO,
GSE78090,GEO,
GSE78088,GEO,
GSE47391,GEO,
GSE8556,GEO,Arabidopsis thaliana
GSE10420,GEO,
E-GEOD-41626,AE,
E-GEOD-8556,AE,
E-GEOD-57847,AE,Arabidopsis thaliana
E-GEOD-71271,AE,
E-GEOD-47391,AE,
E-GEOD-45543,AE,
E-MEXP-1566,AE,
E-GEOD-78088,AE,
E-GEOD-78090,AE,
E-MTAB-4286,AE,
E-GEOD-55632,AE,
E-GEOD-79997,AE,
E-GEOD-53308,AE,
E-GEOD-66266,AE,
E-GEOD-10420,AE,
GSE72547,GEO,Arabidopsis thaliana
E-MTAB-5643,AE,Arabidopsis thaliana
GSE80099,GEO,Arabidopsis thaliana
GSE59315,GEO,Arabidopsis thaliana
GSE39347,GEO,Arabidopsis thaliana
GSE24177,GEO,Arabidopsis thaliana
GSE8878,GEO,Arabidopsis thaliana
E-MEXP-2377,AE,Arabidopsis thaliana
E-MTAB-5003,AE,Arabidopsis thaliana
GSE37118,GEO,Arabidopsis thaliana
GSE9415,GEO,Arabidopsis thaliana
GSE60960,GEO,Arabidopsis thaliana
E-ATMX-32,AE,Arabidopsis thaliana
GSE37137,GEO,Arabidopsis thaliana
GSE66105,GEO,Arabidopsis thaliana
GSE196869,GEO,Arabidopsis thaliana
GSE138196,GEO,Arabidopsis thaliana
GSE95669,GEO,Arabidopsis thaliana
GSE112442,GEO,Arabidopsis thaliana
GSE85653,GEO,Arabidopsis thaliana
GSE72949,GEO,Arabidopsis thaliana
GSE78713,GEO,Arabidopsis thaliana
GSE62163,GEO,Arabidopsis thaliana
GSE58620,GEO,Arabidopsis thaliana
GSE31883,GEO,Arabidopsis thaliana
GSE19603,GEO,Arabidopsis thaliana
GSE18666,GEO,Arabidopsis thaliana
GSE12619,GEO,Arabidopsis thaliana
GSE11758,GEO,Arabidopsis thaliana
GSE4760,GEO,Arabidopsis thaliana
GSE95665,GEO,Arabidopsis thaliana
GSE138133,GEO,Arabidopsis thaliana
E-MTAB-2144,AE,Arabidopsis thaliana
E-MTAB-6980,AE,Arabidopsis thaliana
E-MTAB-7203,AE,Arabidopsis thaliana
E-MEXP-3754,AE,Arabidopsis thaliana
E-MEXP-728,AE,Arabidopsis thaliana
GSE16222,GEO,Arabidopsis thaliana
N/A,Suppl,Arabidopsis thaliana
GSE35258,GEO,Arabidopsis thaliana
GSE38522,GEO,Arabidopsis thaliana
GSE39956,GEO,Arabidopsis thaliana
GSE201609,GEO,Arabidopsis thaliana
GSE201380,GEO,
GSE201379,GEO,
GSE209584,GEO,
GSE184355,GEO,
GSE190107,GEO,
GSE56642,GEO,
GSE94075,GEO,
GSE39033,GEO,
GSE39024,GEO,
GSE66599,GEO,
GSE77672,GEO,
GSE83846,GEO,
GSE72309,GEO,
GSE58219,GEO,
GSE72982,GEO,
GSE71237,GEO,Arabidopsis thaliana
GSE68370,GEO,
GSE59321,GEO,
GSE39753,GEO,
GSE26356,GEO,
GSE11657,GEO,
GSE13366,GEO,
GSE10384,GEO,Arabidopsis thaliana
GSE10427,GEO,
GSE6177,GEO,
GSE152457,GEO,
GSE152456,GEO,
GSE94348,GEO,
GSE44419,GEO,Arabidopsis thaliana
GSE36789,GEO,
GSE36560,GEO,
GSE25889,GEO,
GSE15063,GEO,
GSE5539,GEO,
GSE222562,GEO,
GSE95614,GEO,
GSE192427,GEO,
GSE192407,GEO,
GSE227820,GEO,
GSE200100,GEO,
GSE163845,GEO,
GSE181598,GEO,
GSE167243,GEO,Arabidopsis thaliana
GSE166755,GEO,
GSE148744,GEO,
GSE159796,GEO,
GSE140507,GEO,
GSE125950,GEO,Arabidopsis thaliana
GSE114221,GEO,
GSE142537,GEO,
GSE139941,GEO,
GSE85651,GEO,
GSE79354,GEO,
GSE94146,GEO,
GSE94015,GEO,
GSE87756,GEO,
GSE43937,GEO,
GSE75646,GEO,
GSE70157,GEO,
GSE53322,GEO,
GSE26197,GEO,
GSE22568,GEO,
GSE6154,GEO,
GSE181434,GEO,
GSE207366,GEO,
GSE205208,GEO,
GSE96812,GEO,
GSE51897,GEO,Arabidopsis thaliana
GSE34595,GEO,Arabidopsis thaliana
GSE216361,GEO,
E-MEXP-762,AE,
